title,camera
M*A*S*H,Unknown
Rhoda,Unknown
Good Times,Multi-camera
The Waltons,Unknown
Maude,Unknown
Hawaii Five-O,Unknown
The Mary Tyler Moore Show,Unknown
The Rockford Files,| editor               =
Little House on the Prairie,Unknown
Kojak,Unknown
Police Woman,Unknown
S.W.A.T.,Unknown
The Bob Newhart Show,Multi-camera
The Wonderful World of Disney,Unknown
The Rookies,Single-camera
Mannix,Single-camera
Cannon,Unknown
Cher,Unknown
The Streets of San Francisco,Unknown
The NBC Sunday Mystery Movie,Unknown
Paul Sand in Friends and Lovers,Unknown
Tony Orlando & Dawn,Unknown
Medical Center,Unknown
Gunsmoke,Unknown
The Carol Burnett Show,Multi-camera
Emergency!,Unknown
All in the Family,Unknown
"Rich Man, Poor Man",Unknown
Laverne & Shirley,Unknown
Maude,Unknown
The Bionic Woman,Single-camera
Phyllis,Unknown
Sanford and Son,Multi-camera
Rhoda,Unknown
The Six Million Dollar Man,Unknown
ABC Monday Night Movie,Unknown
Happy Days,{{unbulleted list|Single-camera (1974–1975)|Multi-camera (1975–1984)}}
One Day at a Time,Unknown
ABC Sunday Night Movie,Unknown
The Waltons,Unknown
M*A*S*H,Unknown
Starsky & Hutch,Unknown
Good Heavens,Unknown
"Welcome Back, Kotter",Unknown
The Mary Tyler Moore Show,Unknown
Kojak,Unknown
The Jeffersons,Multi-camera
Baretta,Unknown
The Sonny & Cher Show,Unknown
Good Times,Multi-camera
Chico and the Man,Multi-camera
The Bob Newhart Show,Multi-camera
Donny & Marie,Unknown
The Streets of San Francisco,Unknown
The Carol Burnett Show,Multi-camera
Police Woman,Unknown
Happy Days,{{unbulleted list|Single-camera (1974–1975)|Multi-camera (1975–1984)}}
Laverne & Shirley,Unknown
ABC Monday Night Movie,Unknown
M*A*S*H,Unknown
Charlie's Angels,Unknown
The Big Event,Unknown
The Six Million Dollar Man,Unknown
ABC Sunday Night Movie,Unknown
Baretta,Unknown
One Day at a Time,Unknown
Three's Company,Videotape; multi-camera
All in the Family,Unknown
"Welcome Back, Kotter",Unknown
The Bionic Woman,Single-camera
The Waltons,Unknown
Little House on the Prairie,Unknown
Barney Miller,Videotape; multi-camera
60 Minutes,Multi-camera
Hawaii Five-O,Unknown
NBC Monday Night Movie,Unknown
"Rich Man, Poor Man Book II",Unknown
Monday Night Football,Multi-camera
Eight Is Enough,Single-camera
The Jeffersons,Multi-camera
What's Happening!!,Unknown
Good Times,Multi-camera
Sanford and Son,Multi-camera
ABC Friday Night Movie,Unknown
The Tony Randall Show,Unknown
Alice,Unknown
Laverne & Shirley,Unknown
Happy Days,{{unbulleted list|Single-camera (1974–1975)|Multi-camera (1975–1984)}}
Three's Company,Videotape; multi-camera
60 Minutes,Multi-camera
Charlie's Angels,Unknown
All in the Family,Unknown
Little House on the Prairie,Unknown
Alice,Unknown
M*A*S*H,Unknown
One Day at a Time,Unknown
How the West Was Won,Unknown
Eight Is Enough,Single-camera
Soap,Unknown
The Love Boat,Unknown
NBC Monday Night Movie,Unknown
Monday Night Football,Multi-camera
Fantasy Island,Unknown
Barney Miller,Videotape; multi-camera
Project U.F.O.,Unknown
ABC Sunday Night Movie,Unknown
The Waltons,Unknown
Barnaby Jones,Unknown
Hawaii Five-O,Unknown
ABC Monday Night Movie,Unknown
Rhoda,Unknown
The Incredible Hulk,Unknown
Family,Unknown
"Welcome Back, Kotter",Unknown
On Our Own,Unknown
The Big Event — Sunday,Unknown
Laverne & Shirley,Unknown
Three's Company,Videotape; multi-camera
Mork & Mindy,Multi-camera
Happy Days,{{unbulleted list|Single-camera (1974–1975)|Multi-camera (1975–1984)}}
Angie,Unknown
60 Minutes,Multi-camera
M*A*S*H,Unknown
The Ropers,Unknown
All in the Family,Unknown
Taxi,Unknown
Eight Is Enough,Single-camera
Charlie's Angels,Unknown
Alice,Unknown
Little House on the Prairie,Unknown
ABC Sunday Night Movie,Unknown
Barney Miller,Videotape; multi-camera
The Love Boat,Unknown
One Day at a Time,Unknown
Soap,Unknown
The Dukes of Hazzard,Single-camera
NBC Monday Night Movie,Unknown
Fantasy Island,Unknown
Vega$,Unknown
Barnaby Jones,Unknown
CHiPs,Unknown
Stockard Channing in Just Friends,Unknown
Diff'rent Strokes,Multi-camera
Monday Night Football,Multi-camera
What's Happening!!,Unknown
Lou Grant,Unknown
60 Minutes,Multi-camera
Three's Company,Videotape; multi-camera
That's Incredible!,Unknown
Alice,Unknown
M*A*S*H,Unknown
Dallas,Unknown
Flo,Unknown
The Jeffersons,Multi-camera
The Dukes of Hazzard,Single-camera
One Day at a Time,Unknown
Archie Bunker's Place,Unknown
Eight Is Enough,Single-camera
Taxi,Unknown
House Calls,Unknown
Real People,Unknown
Little House on the Prairie,Unknown
Happy Days,{{unbulleted list|Single-camera (1974–1975)|Multi-camera (1975–1984)}}
CHiPs,Unknown
"Trapper John, M.D.",Single-camera
Charlie's Angels,Unknown
Barney Miller,Videotape; multi-camera
WKRP in Cincinnati,Multi-camera
Benson,Unknown
The Love Boat,Unknown
Soap,Unknown
Diff'rent Strokes,Multi-camera
Mork & Mindy,Multi-camera
Fantasy Island,Unknown
Tenspeed and Brown Shoe,Unknown
ABC Sunday Night Movie,Unknown
Vega$,Unknown
Knots Landing,Unknown
Dallas,Unknown
The Dukes of Hazzard,Single-camera
60 Minutes,Multi-camera
M*A*S*H,Unknown
The Love Boat,Unknown
The Jeffersons,Multi-camera
Alice,Unknown
House Calls,Unknown
Three's Company,Videotape; multi-camera
Little House on the Prairie,Unknown
One Day at a Time,Unknown
Real People,Unknown
Archie Bunker's Place,Unknown
"Magnum, P.I.",Unknown
Happy Days,{{unbulleted list|Single-camera (1974–1975)|Multi-camera (1975–1984)}}
Too Close for Comfort,Videotape; multi-camera
Fantasy Island,Unknown
"Trapper John, M.D.",Single-camera
Diff'rent Strokes,Multi-camera
Monday Night Football,Multi-camera
Laverne & Shirley,Unknown
That's Incredible!,Unknown
Hart to Hart,Unknown
